StartTime,Dur,proto,SrcBytes,DstBytes,SrcPkts,DstPkts
19:02:05.940919,4.180112,tcp,1588,10755,13,108
19:02:06.286213,4.189969,ip,130109,0,11,0
19:02:06.286311,0.236631,tcp,639,1883,2,5
19:02:06.531136,0.554316,tcp,54,1406,1,3
19:02:07.122879,0.302985,udp,1770,618,5,5
19:02:07.131726,0.037722,tcp,108,120,2,2
19:02:07.714117,0.0,tcp,60,0,1,0
19:02:10.450321,0.003289,udp,71,103,1,1
19:02:10.454673,0.495956,tcp,1389,16894,10,26
19:02:11.668622,0.956751,tcp,162,1899,3,4
19:02:12.168968,1.947614,ip,16942,0,8,0
19:02:12.169084,0.233802,tcp,639,1887,2,5
19:02:12.173880,0.165302,tcp,213,234,2,2
19:02:12.206015,0.000398,tcp,55,60,1,1
19:02:12.420095,1.740248,tcp,108,2835,2,6
19:02:12.914500,1.887011,tcp,162,8034,3,17
19:02:13.614594,0.00477,udp,78,181,1,1
19:02:13.618658,3.018198,udp,228,0,3,0
19:02:13.666216,3.977458,udp,1026,0,14,0
19:02:13.666216,3.978168,udp,1306,0,14,0
19:02:13.671486,0.411631,udp,168,0,2,0
19:02:13.671486,0.411631,udp,128,0,2,0
19:02:13.878874,0.000326,tcp,55,60,1,1
19:02:14.633070,0.411995,udp,168,0,2,0
19:02:14.633070,0.411995,udp,128,0,2,0
19:02:14.770016,0.000615,tcp,55,60,1,1
19:02:14.988472,0.000274,tcp,55,60,1,1
19:02:15.816569,0.000525,tcp,55,60,1,1
19:02:15.897391,0.185635,udp,956,0,4,0
